;lemmantized_reviews
20;['stay', 'week', 'recommendation', 'friend', 'fun', 'lot', 'love', 'activity', 'tree', 'top', 'climb', 'build', 'bear', 'badminton', 'love', 'location', 'cottage', 'right', 'next', 'lake', 'prepare', 'extra', 'cost', 'alot', 'restaurant', 'pricey', '100', 'euro', 'pizza', 'place', 'staff', 'friendly', 'felt', 'safe']
21;['family', 'young', 'boy', 'high', 'expectation', 'parcs', 'despite', 'read', 'poor', 'review', 'unfortunately', 'parcs', 'level', 'service', 'facility', 'one', 'limit', 'choice', 'kid', 'activity', 'compare', 'fact', 'limit', 'stay', 'refurbish', 'bedroom', 'lodge', 'sauna', 'lodge', 'space', 'date', 'despite', 'shower', 'separate', 'bath', 'toilet', 'kitchen', 'cutlery', 'limit', 'example', 'extremely', 'large', 'cook', 'pot', 'nothing', 'reasonable', 'small', 'size', 'microwave', 'locate', 'shouldershead', 'make', 'difficult', 'take', 'hot', 'food', 'limit', 'choice', 'restaurant', 'plus', 'flat', 'surface', 'allow', 'ride', 'bike', 'although', 'locate', 'furthest', 'away', 'centre', 'playground', 'area', 'separate', 'picnic', 'area', 'bench', 'locate', 'anywhere', 'saw', 'would', 'recommend', 'come', 'would', 'say', 'euro', 'camp', 'good', 'activity', 'available']
22;['good', 'bit', 'comfy', 'bed', 'save', 'cot', 'awful', 'great', 'aqua', 'mundo', 'kid', 'pool', 'lovely', 'warmnice', 'flat', 'site', 'nicely', 'landscape', 'near', 'villapony', 'rid', 'pedalos', 'bike', 'mini', 'golf', 'greatsupermarket', 'bakery', 'pizzapancakepasta', 'restaurant', 'good', 'quality', 'expensivewe', 'manage', 'spend', 'lot', 'quality', 'time', 'family', 'lot', 'fun', 'stick', 'good', 'bitsthe', 'minus', 'point', 'oven', 'one', 'sofa', 'vip', 'pagode', 'seem', 'quite', 'cheaply', 'two', 'plasticy', 'chair', 'chipboard', 'show', 'dishwasher', 'salt', 'rinse', 'aid', 'one', 'grind', 'floor', 'window', 'didnu2019t', 'lock', 'old', 'pan', 'need', 'replacement', 'one', 'kid', 'plateno', 'jardin', 'de', 'sport', 'instead', 'outdoor', 'tennis', 'court', 'two', 'tarmac', 'run', 'indoor', 'u2018spaceu2019', 'run', 'downhad', 'wait', 'min', 'reception', 'check', 'first', 'queue', 'count', 'staff', 'aboutpoor', 'choice', 'food', 'outlet', 'greasy', 'eat', 'buffet', 'mcdonalds', 'style', 'place', 'proper', 'pancake', 'house', 'cafe', 'french', 'style', 'restaurant', 'open', '3pm', '7pmbooking', 'system', 'tedious', 'nonsensical', 'wait', 'hour', 'take', 'pedalo', 'even', 'though', 'available', 'wifi', 'keep', 'cut', 'book', 'point', 'dome', 'book', 'anythingold', 'part', 'swim', 'pool', 'run', 'lifeguard', 'donu2019t', 'seem', 'much', 'saw', 'man', 'cry', 'head', 'injury', 'lay', 'cold', 'floor', 'pool', 'pathway', 'minute', 'lifeguard', 'stand', 'around', 'look', 'didnu2019t', 'know', 'dolack', 'sport', 'activity', 'young', 'child', 'surface', 'tennis', 'court', 'dangerous', 'child', 'play', 'cover', 'grit', 'hole', 'floor', '23', 'kid', 'knee', 'scrap', 'within', 'minssite', 'generally', 'rundown', 'pave', 'stone', 'part', 'boardwalk', 'miss', 'pothole', 'road', 'narrow', 'path', 'cycle', 'path', 'awkward', 'bike', 'especially', 'pull', 'kid', 'trailer', 'seem', 'quite', 'lot', 'car', 'sitepetting', 'farm', 'couple', 'skinny', 'chickensgeese', 'giant', 'rabbit', 'soft', 'play', 'area', 'good', 'surround', 'thing', 'like', 'trampoline', 'cart', 'etc', 'need', 'token', 'pay', 'token', 'machine', 'order', 'hole', 'pipe', 'work', 'ceiling', 'expose', 'one', 'play', 'area', 'sand', 'basedoverall', 'enjoyable', 'holiday', 'le', 'bois', 'meet', 'standard', 'center', 'parcs', 'use', 'want', 'relax', 'pool', 'itu2019s', 'fine']
23;['firstly', 'positive', 'overall', 'enjoy', 'stay', 'parc', 'nice', 'pool', 'complex', 'great', 'fun', 'enjoy', 'family', 'time', 'natural', 'set', 'reasonable', 'range', 'bookable', 'activity', 'staff', 'helpful', 'think', 'shame', 'outside', 'square', 'like', 'parcs', 'cafe', 'etc', 'instead', 'dome', 'largely', 'enclose', 'quite', 'limit', 'eat', 'option', 'sadly', 'accommodation', 'vip', 'cottage', 'run', 'immediate', 'impression', 'walk', 'musty', 'stale', 'smell', 'make', 'inside', 'unpleasant', 'couldnt', 'escape', 'shower', 'smelt', 'progressively', 'bad', 'sewer', 'sink', 'keep', 'block', 'sofa', 'chair', 'shabby', 'stain', 'skirt', 'board', 'hang', 'squash', 'mosquito', 'decorate', 'wall', 'ceilinghaving', 'say', 'enjoy', 'overlook', 'lake', 'kid', 'adore', 'feed', 'duck', 'patio', 'morningoverall', 'felt', 'site', 'need', 'tlc', 'investment', 'upgrade', 'could', 'super', 'destination']
24;['chalet', 'really', 'need', 'investment', 'tatty', 'poorly', 'maintain', 'inside', 'paintwork', 'peel', 'damp', 'smell', 'throughout', 'one', 'toilet', 'hand', 'basin', 'impractical', 'young', 'kidsthe', 'outside', 'standard', '3bed', 'pretty', 'filthy', 'stain', 'badly', 'damage', 'deep', 'potholed', 'footpath', 'right', 'outside', 'front', 'door', 'report', 'nothing', 'really', 'good', 'first', 'impression', 'arrival', 'see', 'photo', 'kitchen', 'equipment', 'okay', 'although', 'thedishwasher', 'door', 'break', 'many', 'plat', 'cutlery', 'dirty', 'presumably', 'properly', 'clean', 'previous', 'occupantsthe', 'park', 'okay', 'certainty', 'standard', 'center', 'parcs', 'visit', 'longleat', 'food', 'selfserve', 'buffet', 'okay', 'might', 'expect', 'quite', 'expensivewhilst', 'center', 'parcs', 'attract', 'respectable', 'family', 'client', 'base', 'evident', 'one', 'also', 'attract', 'another', 'quite', 'different', 'customer', 'type', 'group', 'teen', 'twentysomethings', 'away', 'weekend', 'different', 'type', 'break', 'conducive', 'type', 'family', 'holiday', 'might', 'reasonably', 'expect', 'centre', 'parcswe', 'family', 'five', 'three', 'young', 'kid', 'ten', 'accommodate', 'directly', 'adjoin', 'group', 'teenager', 'seem', 'away', 'weekend', 'drink', 'u2018smokeu2019', 'shout', 'loudly', 'behave', 'aggressively', 'play', 'music', 'door', 'window', 'open', 'midnight', 'reception', 'close', 'nobody', 'complain', 'tothe', 'atmosphere', 'immediate', 'vicinity', 'cabin', 'uncomfortable', 'slightly', 'threaten', 'definitely', 'unsociable', 'view', 'serious', 'issue', 'center', 'parcs', 'management', 'need', 'address', 'general', 'locate', 'family', 'park', 'look', 'around', 'site', 'doubt', 'experience', 'would', 'isolate', 'incidentnot', 'somewhere', 'weu2019ll', 'come', 'back']
25;['great', 'dome', 'amp', 'swim', 'facility', 'nice', 'park', 'general', 'cottage', 'little', 'run', 'amp', 'need', 'attention', 'compare', 'center', 'parcs', 'england', 'amp', 'wasnt', 'standard', 'park', 'opinion', 'also', 'enough', 'cater', 'vegetarian', 'vegan']
26;['could', 'pay', 'come', 'accomodation', 'year', 'date', 'riddle', 'damp', 'break', 'door', 'restaurant', 'choice', 'poor', 'price', 'stick', 'othet', 'french', 'cps', 'one', 'hideous']
27;['lovely', 'site', 'although', 'cottage', 'little', 'tire', 'datedthere', 'oven', 'property', 'either', 'prepare', 'eat', 'regularly', 'cook', 'via', 'hobmicrowavethe', 'set', 'divine', 'truly', 'relax', 'breakswimming', 'pool', 'lovely', 'warm', 'great', 'fun', 'kid', 'absolutely', 'love']
28;['bad', 'holiday', 'ever', 'chalet', '760', 'filthy', 'damp', 'dark', 'smelly', 'facility', 'really', 'poor', 'expensive', 'nothing', 'like', 'english', 'center', 'parcs', 'hardly', 'anything', 'kid', 'oven', 'microwave', 'didnu2019t', 'work', 'shower', 'leak', 'daughter', 'friend', 'son', 'day', 'dome', 'pool', 'ear', 'throat', 'infection', 'never', 'happy', 'come', 'home', 'advice', 'donu2019t']
29;['le', 'boisfrancs', 'show', 'age', 'badly', 'need', 'restoration', 'repair', 'investment', 'hotel', 'advertise', 'restaurant', 'staff', 'hotel', 'room', 'poor', 'repair', 'break', 'shower', 'bath', 'plug', 'room', 'smell', 'strongly', 'last', 'occupant', 'cheese', 'think', 'prepurchased', 'breakfast', 'day', 'hotel', 'important', 'cater', 'facility', 'provide', 'find', 'purchase', 'individual', 'breakfast', 'rowdy', 'jungle', 'restaurant', 'dome', 'voucher', 'give', 'date', 'whole', 'week', 'channel', 'english', 'language', 'advertise', 'wifi', 'access', 'unavailable', 'week', 'despite', 'pay', 'itwe', 'enjoy', 'cycle', 'french', 'countryside', 'swim']
30;['center', 'parcs', 'time', 'previously', 'amp', 'holland', 'really', 'suprised', 'experience', 'france', 'le', 'boisi', 'dont', 'know', 'defintiely', 'seem', 'attract', 'different', 'type', 'guest', 'one', 'weekend', 'young', 'child', 'witness', 'young', 'french', 'men', 'fight', 'one', 'pool', 'aqua', 'mondo', 'punch', 'face', 'security', 'guard', 'call', 'childrens', 'indoor', 'play', 'area', 'saw', 'two', 'mother', 'fight', 'one', 'tatoo', 'neck', 'grab', 'child', 'arm', 'throat', 'call', 'french', 'equate', 'prostitutenot', 'usual', 'family', 'frendly', 'vibe', 'get', 'center', 'parcsother', 'issue', 'find', 'poo', 'main', 'pool', 'terrible', 'food', 'bad', 'service', 'insufficent', 'staff', 'also', 'great', 'feature', 'tripstaff', 'service', 'pizza', 'restaurant', 'good', 'though']
31;['british', 'stick', 'base', 'center', 'parcs', 'holiday', 'france', 'quite', 'often', 'although', 'staff', 'speak', 'dome', 'english', 'feel', 'little', 'second', 'rate', 'compare', 'french', 'holidaymaker']
32;['book', 'night', 'stay', 'way', 'home', 'week', 'trip', 'motorhome', 'stay', 'cps', 'holland', 'france', 'great', 'experience', 'think', 'would', 'nice', 'end', 'holiday', 'choose', 'le', 'boisfrancs', 'due', 'location', 'route', 'calais', 'concern', 'negative', 'review', 'lower', 'expectation', 'first', 'positive', 'stay', 'premium', 'pagode', 'cottage', 'renew', 'designdecor', 'cottage', 'exceed', 'expectation', 'although', 'fairly', 'far', 'away', 'center', 'problem', 'bike', 'lovely', 'quiet', 'private', 'garden', 'overlook', 'aqua', 'mundo', 'great', 'plenty', 'keep', 'kid', 'age', 'amuse', 'hour', 'although', 'busy', 'time', 'tend', 'late', 'day', 'crowd', 'die', 'never', 'issue', 'find', 'locker', 'change', 'room', 'old', 'boy', 'aqua', 'speed', 'activity', 'highlight', 'stay', 'book', 'day', 'whole', 'aqua', 'mundo', 'hour', 'race', 'rapid', 'flume', 'little', 'foam', 'boat', 'great', 'value', 'money', 'also', 'paintball', 'enjoy', 'although', 'quickly', 'soft', 'play', 'area', 'good', 'theory', 'keep', 'year', 'old', 'happy', 'hour', 'want', 'mini', 'gokarts', 'time', 'pay', 'eat', 'buffet', 'restaurant', 'one', 'night', 'good', 'kid', 'small', 'play', 'area', 'attach', 'quality', 'average', 'compare', 'park', 'holland', 'enjoyable', 'stay', 'say', 'minor', 'improvement', 'could', 'take', 'park', 'good', 'great', 'firstly', 'dishwasher', 'seem', 'leave', 'strange', 'residue', 'dish', 'arrive', 'felt', 'crockery', 'utensil', 'dirty', 'think', 'probably', 'dishwasher', 'great', 'first', 'impression', 'area', 'need', 'address', 'floor', 'pool', 'change', 'area', 'toddler', 'pool', 'tile', 'change', 'area', 'get', 'wet', 'lethal', 'also', 'small', 'slide', 'toddler', 'pool', 'areathe', 'step', 'material', 'slide', 'mean', 'year', 'old', 'keep', 'fall', 'way', 'quite', 'easy', 'remedy', 'would', 'think', 'would', 'make', 'experience', 'lot', 'relax', 'parent', 'toddler', 'summary', 'enjoyable', 'stay', 'stay', 'good', 'cps']
33;['park', 'great', 'staff', 'nice', 'bungalow', 'old', 'need', 'renovation', 'cater', 'age', 'look', 'house', 'would', 'recommend', 'would', 'like', 'stay', 'pleasant', 'bungalow', 'maybe', 'think', 'twice', 'park', 'bungalow', 'water', 'damage', 'smell', 'mold', 'luckily', 'activity', 'make', 'staff']
34;['penrith', 'idea', 'expect', 'read', 'review', 'make', 'apprehensivewe', 'book', 'four', 'bed', 'comfort', 'lodge', 'week7', 'adult', 'grandkids', 'large', 'enough', 'big', 'table', 'seat', 'great', 'start', 'day', 'enough', 'cutlery', 'glass', 'cup', 'etc', 'decent', 'kitchen', 'fridge', 'dishwashercontrary', 'report', 'inside', 'clean', 'outside', 'house', 'woodsoutside', 'big', 'table', 'chair', 'sun', 'lounger', 'offer', 'nice', 'base', 'visit', 'parc', 'france', 'itselfthe', 'parc', 'facility', 'excellent', 'fantastic', 'fun', 'pool', 'kid', 'slide', 'lazy', 'river', 'wave', 'pool', 'good', 'funtree', 'walk', 'scary', 'part', 'fun', 'extra', 'cost', 'onsite', 'restaurant', 'great', 'pizza', 'price', 'slightly', 'high', 'expect', 'small', 'carrefour', 'supermarket', 'fresh', 'bread', 'milk', 'basic', 'need', 'handyall', 'good', 'place', 'stay', 'tie', 'train', 'ride', 'paris', 'quarter', 'hour', 'away', 'via', 'vernuil', 'sur', 'avre', 'station', 'night', 'day', 'euro', 'disney', 'great', 'holiday', 'problemsbarry', 'leeds']
35;['year', 'old', 'daughter', 'love', 'holiday', 'activity', 'vary', 'fun', 'accommodation', 'well', 'present', 'location', 'lovely', 'would', 'look', 'improve', 'food', 'offer', 'sight', 'night', 'life', 'lack']
36;['read', 'review', 'online', 'mildly', 'concern', 'make', 'book', 'however', 'amaze', 'time', 'opt', 'refurbish', 'vip', 'lodge', 'choose', 'away', 'central', 'dome', 'hire', 'bike', 'lot', 'cheap', 'online', 'uk', 'lodge', 'clean', 'tidy', 'suit', 'need', 'perfectly', 'child', 'love', 'pool', 'many', 'slide', 'pool', 'time', 'busy', 'time', 'quiet', '1u20ac', 'need', 'locker', 'refund', 'high', 'rope', 'really', 'great', 'activity', 'physical', 'high', 'jump', 'tennis', 'explore', 'area', 'instructor', 'brilliant', 'speak', 'mixture', 'language', 'next', 'town', 'large', 'supermarket', 'close', 'sunday', 'one', 'onsite', 'great', 'take', 'insect', 'repellent', 'bite', 'even', 'wear', 'great', 'holiday', 'return']
37;['fab', 'week', 'centreparcs', 'swim', 'moat', 'day', 'cost', 'activity', 'high', 'swim', 'time', 'food', 'little', 'disappoint', 'expensive', 'limit', 'could', 'eat', 'due', 'stay', 'hotel', 'room', 'big']
38;['couple', 'child', 'age', 'bedroom', 'premier', 'villa', 'family', '1st', 'trip', 'centre', 'parcs', 'yet', 'family', 'regular', 'visitor', 'english', 'parcsfirst', 'relax', 'holiday', 'activity', 'week', 'suggest', 'weekend', 'unless', 'aboutthe', 'villa', 'tire', 'urgent', 'need', 'modernisation', 'process', 'adequate', 'good', 'layout', 'family', 'one', 'bathroom', 'one', 'toilet', 'shower', 'room', 'work', 'well', 'refit', 'one', 'lose', 'shower', 'room', 'make', 'crowd', 'bathroom', 'crockery', 'ever', 'see', 'poor', 'dishwasher', 'fill', 'salt', 'rinse', 'aide', 'every', 'new', 'customer', 'get', 'dirty', 'plat', 'every', 'cycle', 'pool', 'amaze', 'plenty', 'locker', 'toilet', 'slide', 'rapid', 'flume', 'etc', 'tell', 'exactly', 'england', 'play', 'area', 'sparse', 'expensive', 'eg', 'trampoline', '15', 'euro', 'minute', 'karts', 'minute', 'upstairs', 'game', 'area', 'tale', 'cash', 'token', '15', 'euro', 'per', 'anything', 'expensive', 'grab', 'machine', 'ever', 'see', 'sport', 'bar', 'nice', 'little', 'u20ac7', 'pint', 'expensiverestaurant', 'price', 'little', 'choice', 'however', 'quickly', 'learn', 'parc', 'french', 'guest', 'dont', 'eat', 'drink', 'outside', 'unit', 'english', 'dutch', 'hence', 'dont', 'need', 'bookall', 'go', 'well', 'friday', 'monday', 'french', 'male', 'youth', 'girl', 'arrive', 'villa', 'shout', 'scream', 'smoke', 'drug', 'drink', 'late', 'night', 'first', 'night', 'let', 'new', '2nd', 'night', 'get', 'bad', 'bike', 'ride', '1145pm', 'try', 'see', 'scream', 'loud', 'child', 'get', 'frightenednext', 'day', 'reception', 'complain', 'get', 'tell', 'ring', 'security', 'report', 'drink', 'drug', 'youth', 'look', 'like', 'cage', 'fighter', 'spare', 'time', 'dont', 'think', 'ask', 'directeur', 'eventually', 'get', 'offer', 'move', 'cut', 'long', 'story', 'short', 'new', 'unit', 'habitableback', 'receptionoffered', 'unit', 'far', 'centrenot', 'suitableoffered', 'refit', 'unitvery', 'nice', 'bathroom', 'guestsgiven', 'towel', 'golf', 'buggy', 'couple', 'hour', 'compensation', 'vouchersi', 'wont', 'detail', 'unit', 'guess', 'voucher', 'recompense', 'ushowever', 'experience', 'put', 'stay', 'allow', 'large', 'sex', 'group', 'saw', 'others', 'next', 'family', 'apart', 'sit', 'entrance', 'security', 'team', 'actually', 'patrol', 'campi', 'tell', 'england', 'would', 'allow', 'would', 'deal', 'security', 'sure', 'look', 'forward', 'explanation']
39;['disappoint', 'park', 'tire', 'shabby', 'require', 'significant', 'refresh', 'update', 'vip', 'lodge', 'unpleasantly', 'dirty', 'plus', 'side', 'quiet', 'park', 'queue', 'aqua', 'mundo', 'short', 'child', 'appreciate', 'good', 'cycle', 'kid', 'park', 'flat', 'kid', 'enjoy', 'activity', 'include', 'parcour', 'treetop', 'adventure', 'horse', 'rid', 'overall', 'highly', 'recommend', 'explore', 'option', 'park', 'one', 'fully', 'update']
40;['come', 'family', 'kid', 'yo', 'stay', 'pagode', 'vip', 'cottage', 'u20ac', '1600', 'per', 'week', 'dont', 'old', 'house', 'transform', 'place', 'wood', 'outside', 'lot', 'general', 'damage', 'house', 'bathroom', 'shower', 'sauna', 'tiny', 'always', 'stay', 'vip', 'compare', 'many', 'location', 'throughout', 'germany', 'holland', 'vip', 'always', 'pay', 'except', 'personnel', 'doesnt', 'speak', 'english', 'deaf', 'woman', 'fall', 'aqua', 'mundo', 'one', 'year', 'old', 'son', 'impossible', 'find', 'help', 'try', 'three', 'people', 'finally', 'get', 'one', 'annoy', 'unhelpful', 'teenager', 'check', 'late', 'year', 'old', 'man', 'pull', 'water', 'accelerate', 'water', 'circle', 'wife', 'try', 'get', 'lifeguard', 'help', 'look', 'old', 'man', 'shrug', 'dive', 'water', 'save', 'dangerous', 'situationthe', 'park', 'general', 'nicely', 'keep', 'activity', 'nice', 'market', 'dome', 'fine', 'well', 'nice', 'place', 'stay', 'therefore', 'star', 'dont', 'bother', 'vip', 'pagode', 'house', 'teach', 'staff', 'least', 'english']
41;['centre', 'parcs', 'great', 'activity', 'child', 'year', 'old', 'grandson', 'love', 'find', 'staff', 'pleasant', 'helpful', 'speak', 'english', 'speak', 'french', 'wasnu2019t', 'problem', 'adult', 'find', 'general', 'area', 'around', 'cottage', 'dirty', 'tire', 'actually', 'sweep', 'cobweb', 'cigarette', 'butt', 'front', 'back', 'cottage', 'tire', 'bed', 'clean', 'last', 'night', 'storm', 'water', 'pour', 'light', 'fitting', 'chimney', 'almost', 'flood', 'kitchen', 'lounge', 'electric', 'blow', 'leave', 'early', 'morning', 'donu2019t', 'know', 'quickly', 'thing', 'sort', 'cottage', 'number', '400s', 'donu2019t', 'know', 'cottage', 'compare', 'weu2019ve', 'read', 'need', 'upgrade', 'good', 'supermarket', 'site', 'eat', 'place', 'fast', 'food', 'eat', 'cottage', 'cocoon', 'look', 'wasnu2019t', 'open', 'time', 'want', 'didnu2019t', 'eat', 'either', 'overall', 'great', 'child', 'lot', 'fall', 'short', 'adult', 'perspective']
42;['great', 'time', 'family', 'friend', 'peaceful', 'set', 'hire', 'bike', 'allow', 'travel', 'around', 'park', 'cycle', 'nearly', 'town', 'kid', 'love', 'aqua', 'mundo', 'high', 'adventure', 'space', 'play', 'football', 'family', 'game', 'nearby', 'would', 'advantage']
43;['longleat', 'center', 'parcs', 'several', 'time', 'always', 'find', 'good', 'decide', 'one', 'abroad', 'year', 'despite', 'similar', 'many', 'way', 'quite', 'standard', 'one', 'vip', 'pagode', 'bedroom', 'villa', 'supposedly', 'renew', 'however', 'still', 'tatty', 'round', 'edge', 'also', 'important', 'note', 'oven', 'villa', 'chop', 'board', 'unavailable', 'make', 'cook', 'bite', 'difficult', 'villa', 'nice', 'private', 'terrace', 'area', 'bonus', 'park', 'fine', 'however', 'quite', 'lot', 'traffic', 'throughout', 'week', 'despite', 'car', 'suppose', 'drive', 'round', 'week', 'dome', 'plaza', 'bite', 'date', 'compare', 'longleat', 'certainly', 'lot', 'small', 'restaurant', 'selection', 'lack', 'overprice', 'even', 'compare', 'center', 'parcs', '18u20ac', 'burger', 'chip', 'decide', 'eat', 'result', 'aqua', 'mundo', 'good', 'large', 'indoor', 'outdoor', 'pool', 'many', 'slide', 'similar', 'would', 'expect', 'center', 'parcs', 'shop', 'site', 'carrefour', 'express', 'small', 'pricey', 'however', 'large', 'intermarchu00e9', 'minute', 'drive', 'road', 'excellent', 'everything', 'need', 'train', 'station', 'village', 'nearby', 'mean', 'day', 'paris', 'relatively', 'easy', 'hour', 'train', 'journey', 'staff', 'round', 'site', 'friendly', 'although', 'english', 'limit', 'communication', 'wasnu2019t', 'much', 'issue', 'canu2019t', 'expect', 'everyone', 'speak', 'english', 'abroad', 'overall', 'park', 'fine', 'week', 'stay', 'however', 'eat', 'site', 'wouldu2019ve', 'way', 'expensive', 'overall', 'park', 'need', 'improve', 'bite', 'wouldnu2019t', 'really', 'recommend', 'vip', 'didnu2019t', 'get', 'anything', 'noticeably', 'extra', 'villa']
44;['vip', 'pagoda', 'good', 'quality', 'accommodation', 'come', 'towel', 'pack', 'clearly', 'respond', 'concern', 'staff', 'amp', 'activity', 'excellent', 'amp', 'english', 'comms', 'fine', 'pool', 'area', 'big', 'success', 'kid', 'wife', 'eldest', 'enjoy', 'use', 'spa', 'temperature', '34c', 'plus', 'distance', 'dome', 'little', 'challenge', 'first', 'soon', 'get', 'enjoy', 'walk', 'bike', 'electric', 'buggy', 'available', 'hire', 'otherwise', 'kid', 'make', 'full', 'use', 'activity', 'include', 'parkour', 'horse', 'rid', 'archery', 'etc', 'staff', 'supervision', 'excellent', 'good', 'coverage', 'english', 'lucas', 'benji', 'propulsion', 'parkour', 'gentleman', 'run', 'archery', 'sorry', 'didnu2019t', 'get', 'name', 'fantastic', 'kid', 'really', 'help', 'get', 'activity', 'two', 'potential', 'archer', 'family', 'others', 'say', 'onsite', 'shop', 'mark', 'item', 'fantastic', 'hypermarche', '510', 'minute', 'drive', 'vernuilsuravre', 'mcdonalds', 'fuel', 'station', 'great', 'range', 'food', 'wish', 'back', 'home', 'iu2019ve', 'centre', 'parcs', 'definitely', 'enjoy', 'le', 'boisfranc', 'would', 'definitely', 'come', 'back', 'would', 'like', 'learn', 'little', 'french', 'first', 'necessarily', 'itu2019s', 'need', 'think', 'itu2019s', 'polite']
45;['park', 'wear', 'tire', 'look', 'stay', 'three', 'supposedly', 'vip', 'refurbish', 'premier', 'villa', 'dont', 'know', 'refurbish', 'show', 'sign', 'wear', 'tear', 'outside', 'space', 'around', 'villa', 'grow', 'unkempt', 'messy', 'wooden', 'path', 'way', 'villa', 'break', 'board', 'result', 'cut', 'foot', 'although', 'report', 'three', 'time', 'nothing']
46;['april', '2018', 'join', 'family', 'travel', 'book', 'superior', 'cabin', 'water', 'ingres', 'around', 'chimney', 'radiator', 'rusty', 'leak', 'one', 'burst', 'report', 'maintenance', 'arrive', 'faulty', 'toaster', 'blow', 'electric', 'replace', 'despite', 'quiet', 'period', 'wait', 'cabin', 'clean', 'floor', 'still', 'wet', 'damp', 'cloth', 'table', 'outside', 'furniture', 'poor', 'condition', 'dirty', '6the', 'main', 'dome', 'support', 'net', 'structural', 'problem', 'air', 'condition', 'unit', 'break', 'leak', '7buckets', 'top', 'stair', 'collect', 'drip', 'evidence', 'water', 'ingres', 'dome', 'spa', 'ceiling', 'dirty', 'pool', 'spa', 'area', 'insect', 'infest', 'external', 'sauna', 'email', 'acknowledge', 'never', 'answer', 'plus', 'point', 'food', 'reasonable', 'staff', 'helpful', 'friendly', 'apart', 'evacuate', 'grandchild', 'room', 'due', 'hot', 'jet', 'water', 'issue', 'radiator', 'never', 'compare', 'sit', 'owner', 'seem', 'oblivious', 'health', 'safety', 'issue', 'good', 'manner']
47;['first', 'centre', 'parcs', 'holiday', 'glad', 'say', 'fantastic', 'kid', 'eldest', 'year', 'old', 'plenty', 'old', 'child', 'adultswe', 'book', 'three', 'refurbish', 'cottage', 'nice', 'look', 'good', 'old', 'cottage', 'around', 'park', 'youu2019ll', 'see', 'review', 'still', 'wear', 'tear', 'cottage', 'moment', 'time', 'spend', 'easily', 'overlookedin', 'term', 'get', 'around', 'park', 'hire', 'bike', 'even', 'able', 'cater', 'month', 'twin', 'put', 'secure', 'hammock', 'trailer', 'like', 'fell', 'asleep', 'inwe', 'visit', 'pool', 'pretty', 'much', 'everyday', 'section', 'well', 'little', 'one', 'room', 'play', 'big', 'one', 'activity', 'pony', 'ride', 'year', 'old', 'daughter', 'u20ac13', 'half', 'hour', 'hasnu2019t', 'stop', 'talk', 'since', 'well', 'worth', 'money', 'version', 'ape', 'treetop', 'assult', 'course', 'wasnu2019t', 'bad', 'wait', 'whilst', 'six', 'french', 'child', 'rescue', 'due', 'height', 'fear', 'finally', 'girl', 'use', 'spa', 'get', 'away', 'guy', 'kidsfood', 'wise', 'use', 'onsite', 'supermarket', 'freshly', 'bake', 'croissant', 'morning', 'local', 'supermarket', 'big', 'food', 'shop', 'recommend', 'rather', 'bring', 'load', 'food', 'carthatu2019s', 'pretty', 'much', 'trip', 'nut', 'shell', 'definitely', 'get', 'centre', 'parcs', 'bug', 'look', 'book', 'next', 'year']
48;['park', 'onsite', 'facility', 'fantastic', 'clean', 'great', 'place', 'kid', 'cottage', 'lovely', 'although', 'lot', 'private', 'enough', 'communication', 'difficult', 'however', 'amp', 'kid', 'entertainment', 'french', 'kid', 'bite', 'disappoint', 'exclude', 'daughter', 'break', 'arm', 'site', 'play', 'area', 'communication', 'difficult', 'first', 'aid', 'staff', 'good', 'amp', 'get', 'ambulance', 'quickly', 'however', 'management', 'staff', 'never', 'follow', 'afterwards', 'see', 'daughter', 'find', 'impossible', 'find', 'manager', 'communication', 'difficult']
49;['cottage', 'need', 'renovation', 'particularly', 'roof', 'air', 'con', 'work', 'dirty', 'patio', 'private', 'area', 'place', 'self', 'fun', 'kid', 'could', 'see', 'cottage', 'renovate', 'may', 'unlucky']
50;['nice', 'park', 'lot', 'renovation', 'work', 'go', 'didnu2019t', 'get', 'vip', 'accommodation', 'originally', 'book', 'didnu2019t', 'get', 'premium', 'service', 'fire', 'log', 'order', 'accommodation', 'leak', 'first', 'night', 'towel', 'try', 'stop', 'spread', 'water', 'room', 'accommodation', 'move', 'middle', 'night', 'try', 'sort', 'wash', 'towel', 'next', 'day', 'several', 'large', 'truck', 'car', 'travel', 'park', 'whilst', 'rid', 'bike', 'young', 'child', 'quite', 'unnerve', 'think', 'road', 'would', 'clear', 'vehicle', 'site', 'water', 'park', 'facility', 'good', 'help', 'ensure', 'still', 'enjoy', 'stay', 'although', 'difficult', 'issue', 'face']
